,frequency,amplitude
55,-91.85759140700026,114.65017797537926
56,-76.04465929233304,95.47209107410589
57,-64.90643348257713,81.93378959997042
58,-56.63996049002222,71.86075466016321
59,-50.26371933358157,64.069165990093
60,-45.19765072337573,57.859391899096245
61,-41.076943924531626,52.79140499343829
62,-37.660671887303984,48.57459059218648
63,-34.78332187990491,45.009289698463036
64,-32.32743089953054,41.95379560026092
65,-30.20733012270406,39.30474864017011
66,-28.359070319447454,36.98498560382467
67,-26.733949706347993,34.93573386646122
68,-25.294225925734757,33.11143973030751
69,-24.01019803132203,31.476249074221354
70,-22.858173636002103,30.001555564814204
71,-21.819023037780905,28.664256800288417
72,-20.877131669604427,27.445490858924828
73,-20.01962847003079,26.32970562721442
74,-19.23580895154979,25.30396294637213
75,-18.516697968114954,24.3574112469843
76,-17.85471424540732,23.480880919083
77,-17.243410081579476,22.666570337399744
78,-16.677267261544003,21.907799693789354
79,-16.151535531518302,21.198816157036607
80,-15.662103612731944,20.534638275758624
81,-15.20539536371724,19.91093071844609
82,-14.77828554724284,19.32390265684385
83,-14.378031018272953,18.77022474810499
84,-14.002214134675281,18.246960861865773
85,-13.648695932303479,17.75151158180291
86,-13.315577152938086,17.281567182247976
87,-13.001165630976484,16.83506827325564
88,-12.703948861068666,16.410172694920583
89,-12.422570810327079,16.00522753317112
90,-12.155812229517691,15.61874535413846
91,-11.90257386115889,15.249383935156999
92,-11.661862059874982,14.89592890588799
93,-11.432776431043358,14.557278821909833
94,-11.214499162872848,14.232432284767693
95,-11.006285789377195,13.920476785806834
96,-10.807457164343912,13.620579011884011
97,-10.617392464450656,13.331976393861057
98,-10.435523072571675,13.05396971579899
99,-10.261327212808098,12.78591663239659
100,-10.094325233131377,12.527225967428416
101,-9.934075446104432,12.277352685393641
102,-9.780170450564983,12.035793444993601
103,-9.632233873037748,11.802082658087603
104,-9.489917472532444,11.575788987319843
105,-9.352898562075278,11.356512227839232
106,-9.220877709346125,11.143880523126562
107,-9.09357667863179,10.93754787466014
